"Story","Title","Result","Date","Stability","Duration (s)"
"Loggeo NewTours","Loggin with username and password in the login page","SUCCESS","2018-10-24T19:49:41.816-05:00[America/Bogota]","0.0","25.66"
"Register NewTours","Register in the newtours page","SUCCESS","2018-10-24T19:50:07.478-05:00[America/Bogota]","0.0","20.68"
